Gene,Feature
YALI0E16577g,Transcription_Factor
YALI0E16973g,Transcription_Factor
YALI0E17215g,Transcription_Factor
YALI0E18161g,Transcription_Factor
YALI0E18304g,Transcription_Factor
YALI0E18656g,Transcription_Factor
YALI0E19965g,Transcription_Factor
YALI0E20449g,Transcription_Factor
YALI0E23342g,Transcription_Factor
YALI0E23518g,Transcription_Factor
YALI0E24277g,Transcription_Factor
YALI0E24541g,Transcription_Factor
YALI0E24937g,Transcription_Factor
YALI0E27742g,Transcription_Factor
YALI0E29271g,Transcription_Factor
YALI0E30789g,Transcription_Factor
YALI0E31383g,Transcription_Factor
YALI0E31669g,Transcription_Factor
YALI0E31757g,Transcription_Factor
YALI0E31845g,Transcription_Factor
YALI0E32417g,Transcription_Factor
YALI0F03135g,Transcription_Factor
YALI0F03157g,Transcription_Factor
YALI0F03388g,Transcription_Factor
YALI0F04334g,Transcription_Factor
YALI0F05104g,Transcription_Factor
YALI0F05126g,Transcription_Factor
YALI0F05346g,Transcription_Factor
YALI0F06072g,Transcription_Factor
YALI0F11011g,Transcription_Factor
YALI0F11487g,Transcription_Factor
YALI0F11979g,Transcription_Factor
YALI0F13321g,Transcription_Factor
YALI0F13695g,Transcription_Factor
YALI0F14443g,Transcription_Factor
YALI0F15037g,Transcription_Factor
YALI0F15169g,Transcription_Factor
YALI0F16511g,Transcription_Factor
YALI0F16599g,Transcription_Factor
YALI0F16852g,Transcription_Factor
YALI0F17424g,Transcription_Factor
YALI0F17468g,Transcription_Factor
YALI0F17886g,Transcription_Factor
YALI0F18458g,Transcription_Factor
YALI0F18788g,Transcription_Factor
YALI0F19822g,Transcription_Factor
YALI0F20460g,Transcription_Factor
YALI0F21923g,Transcription_Factor
YALI0F22649g,Transcription_Factor
YALI0F23045g,Transcription_Factor
YALI0F23111g,Transcription_Factor
YALI0F25113g,Transcription_Factor
YALI0F25861g,Transcription_Factor
