Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0D25300r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D25322g,118.840901,120.7153729,91.83638286,101.5053879,222.9471011,227.1851482,251.2041575,189.4985875,202.43345349999998
YALI0D25344g,131.3514044,119.6213682,96.37158520000001,97.36108975,96.99579042,106.585027,93.04135552,118.7201248,91.96932889
YALI0D25366g,0.36986899700000003,0.254565935,0.513403148,1.068745895,2.003038173,1.7604054830000002,2.157810907,0.726781508,1.5932019769999999
YALI0D25388g,23.13279431,29.91036356,39.02472542,33.52094192,21.37904941,31.46867169,31.97172489,21.5201165,24.90424639
YALI0D25421t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D25432g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0D25454g,51.87327611,56.97601792,72.11188679,64.49178054,49.03198121,48.70100099,47.93096447,46.4565602,48.41899481
YALI0D25476g,34.38812171,37.34962344,59.88810211,54.18920991,61.4050667,75.18548487,85.71646019,57.39672839,68.61653918
YALI0D25498g,30.16788528,29.20634971,27.356809000000002,25.65583895,24.39078862,33.79303705,34.20791239,20.55395107,28.66629005
YALI0D25520g,35.0771783,30.02166957,25.67891032,23.48235579,40.99648102,49.86946199,41.37376218,48.33879933,41.07427281
YALI0D25542g,26.624593400000002,29.603476300000004,49.6581037,59.01466525,47.73973571,58.29540104,73.32536399,42.71004323,50.12508834
YALI0D25564g,54.91134603,56.12454489,38.82603855,43.85659602,62.62737224,83.59492964,78.84188726,65.82360364,74.17250126
YALI0D25586g,6.932135918999999,9.661497698,5.704633185,3.7140040119999997,6.6668026110000005,7.052416872,6.940720007,6.129647812999999,5.327297576
YALI0D25608g,9.140850172,10.63429103,9.752893927,8.49893154,9.217722907,15.13595504,13.64107939,8.159359348999999,9.699166272000001
YALI0D25630g,4.02393985,5.165748928,1.561164675,0.90996079,2.616974306,3.1101335160000003,2.631696175,1.5652064280000002,2.65133638
YALI0D25652g,41.74501145,39.99704068,34.04539888,31.58067046,38.14771589,55.67578562,52.13737706,37.30140318,36.72859767
YALI0D25674g,9.65427466,9.753511962000001,12.63124146,10.58174101,6.883257241,12.62107851,16.00233781,8.785672442000001,8.604231171
YALI0D25696g,15.96095885,16.27065824,22.08024301,15.03781685,13.03305264,17.79127828,18.05577197,11.46082575,14.19546523
YALI0D25718g,146.01314419999997,123.33473190000001,80.9388344,102.4806648,120.045041,133.0963084,114.53404440000001,94.11199938,93.63215312
