Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2
YALI0B08756g,75.48947229,69.61211771,79.66677962,61.86430212,130.3639351,100.2839989,67.26213579,72.10763447,47.17562045
YALI0B08778g,222.2995207,267.4532605,347.1784037,232.9858462,98.77167313,96.84121954,176.4694663,213.2217509,229.994771
YALI0B08800g,18.06803848,21.41693356,21.632496,7.71714522,5.51357027,2.682493798,4.310194847,7.156640827,11.18758495
YALI0B08844g,100.3361848,118.9829642,89.07659084,189.5029405,127.7047895,146.1888154,194.7995405,185.1998628,197.7805197
YALI0B08866g,1949.97406,1766.33985,1667.060609,1904.595357,2498.514172,3547.992532,3136.880998,3145.288835,2719.986933
YALI0B08899g,2152.250771,2612.759266,3032.717086,1982.982766,341.4931313,240.6400869,327.7743292,389.4480659,482.3068813
YALI0B08921g,745.4525929,832.0138935,724.5676178,681.4915972,395.5962697,774.7158718,771.8725833,729.0607849,554.7235444
YALI0B08943g,100.7572997,123.0685856,108.4611468,89.6971765,101.0076026,121.0482964,137.4963631,121.88987,91.9890344
YALI0B08965g,138.6419706,147.81496,113.739597,166.5295496,168.9573095,199.6822212,205.3580492,187.1657849,163.5745761
YALI0B08987g,157.8037347,140.3677402,146.6894718,121.6431365,116.2575674,98.74131932,128.8050913,143.9886527,143.7547587
YALI0B09009g,18.93765603,18.84245624,18.09134387,20.59282016,29.42109326,18.55045756,17.7337133,23.66845937,36.76175264
YALI0B09031g,12.80712937,12.3448445,9.545307927,21.06113012,22.67096477,16.84504399,32.11787972,36.67258531,43.37366846
YALI0B09053g,17.10764528,18.30340778,18.77911396,12.88577124,22.97900604,14.5322484,18.17672476,19.18196509,26.71988468
YALI0B09075g,101.571469,119.5668305,113.3828347,223.9294719,231.7547638,132.32637,109.0748811,108.4377894,88.59442272
YALI0B09097r,0,0,0,0,0,0,0,0,0
YALI0B09108r,0,0,0,0,0,0,0,0,0
YALI0B09119g,67.11423619,59.44037595,69.57225534,101.2413596,158.0143405,83.32783301,62.27797958,71.65033484,55.91838653
YALI0B09141g,19.01292315,22.91226,20.03839049,24.06498543,13.12918921,11.82905251,15.47759163,19.73338463,23.28665841
YALI0B09163g,2.93728728,4.62439664,2.525994949,3.51877937,2.416382101,2.128500513,2.10824748,2.154172824,4.0259671
YALI0B09185r,0,0,0,0,0,0,0,0,0
YALI0B09229g,108.1612444,130.2381095,97.21456057,116.0625205,68.94518798,122.0001732,190.275517,202.2757372,214.8675182
YALI0B09251g,21.75405969,21.29420566,26.47498503,56.62440818,10.97130692,4.923564565,3.771502659,6.70204923,22.07676687
YALI0B09273g,90.44331224,64.90253252,61.62335807,37.79636512,42.0736285,88.30154147,138.8125426,129.5158095,149.4899688
YALI0B09295g,55.52680064,36.20203157,41.11950682,49.4863953,117.8015829,37.71108575,27.28995706,42.76883616,38.36153915
YALI0B09317g,255.7114703,293.4427404,291.2963342,250.8889691,225.6566472,176.4577951,217.4733477,262.666529,267.9027039
YALI0B09339g,195.0151167,225.2226408,227.9048587,287.3057265,139.5754448,100.8313271,130.5157053,154.2498282,187.9616286
YALI0B09361g,5.798662778,2.742469151,5.622375854,6.803661382,3.201427899,4.831373238,6.124815356,4.857448525,8.458355557
YALI0B09383g,61.32215251,66.26434771,70.24871955,42.25651241,31.39998065,19.27074064,23.85369862,34.52230978,64.87524382
