Gene,WT_NoIL_Shock_rep1,WT_NoIL_Shock_rep2,WT_NoIL_Shock_rep3,WT_NoIL_Early_rep1,WT_NoIL_Early_rep2,WT_NoIL_Mid_rep1,WT_NoIL_Mid_rep2,WT_IL_Shock_rep1,WT_IL_Shock_rep2,WT_IL_Shock_rep3,WT_IL_Early_rep1,WT_IL_Early_rep2,WT_IL_Early_rep3,WT_IL_Mid_rep1,WT_IL_Mid_rep2,MT_NoIL_Shock_rep1,MT_NoIL_Shock_rep2,MT_NoIL_Shock_rep3,MT_NoIL_Early_rep1,MT_NoIL_Early_rep2,MT_NoIL_Early_rep3,MT_NoIL_Mid_rep1,MT_NoIL_Mid_rep2,MT_IL_Shock_rep1,MT_IL_Shock_rep2,MT_IL_Early_rep1,MT_IL_Early_rep2,MT_IL_Mid_rep1,MT_IL_Mid_rep2
YALI0E18568g,410.5668653,374.7668127,363.0842109,57.5745904,65.19750521,262.0650023,288.2684522,825.4030383,763.3327622,625.7945523,283.881893,252.8397675,178.7579333,290.9648985,387.1243758,457.5834694,458.6256365,452.1211507,138.7736802,114.3693023,143.9117239,168.7212712,165.4169436,913.5782929,936.5374547,197.5672842,220.987425,243.5864127,277.5859342
YALI0E18590g,23.25800958,21.76541845,20.49586581,21.06285467,20.7154757,27.48056647,25.50310847,78.03470013,70.07251462,73.41410176,55.36179729,56.77589679,44.99799905,56.07956935,22.17640576,16.85767198,18.97038666,18.95750705,23.26476079,23.6241255,22.24754526,24.6501338,22.74051675,20.72725266,18.80403569,40.67429521,41.48484307,50.36240604,37.13143306
YALI0E18612g,6.184764254,9.120399785,8.526896957,3.908790773,3.665284721,7.667249742,6.152689717,35.34867132,37.86850996,38.52571667,14.84044654,16.7870651,19.55492722,20.56472654,14.5445797,12.33695299,11.8549969,13.14191019,6.132123538,14.39060834,12.11123206,5.582043697,7.988302949,27.03937634,25.02527994,9.384928726,9.334170554,11.6964058,23.02261006
YALI0E18634g,19.77000208,19.25208319,22.02034285,133.6064666,150.9586769,272.1110029,221.8661344,7.890860652,8.820786731,7.351629458,87.81924577,107.1880314,86.23488365,32.93333765,15.05992337,17.96981006,18.22029486,16.89174787,78.95029228,90.53527885,89.86111416,53.04310671,95.50291768,65.92821636,80.24175663,3.98116143,14.26221961,17.25550762,45.4923735
YALI0E18656g,15.26439012,18.3142559,14.91977562,14.40366789,15.92696204,10.86291003,6.971838892,12.74315108,15.43400159,16.20307799,12.73670525,15.03245841,13.87412151,10.89341521,18.57497136,19.35282075,19.10493424,23.96131021,13.90116739,18.32187987,18.32589895,13.7478475,14.75214237,16.27511191,14.76680275,11.67084988,12.31207429,13.24560963,10.19763873
YALI0E18678g,47.04424154,44.6196178,42.72180303,33.45768006,34.99756726,43.26196544,50.00289266,51.49396694,51.45732359,54.13433104,58.28355715,69.53864693,61.1591698,81.53872533,73.61468925,68.93931167,70.41665315,80.07184002,49.46802903,52.7642978,57.6019475,58.70931326,54.22971348,56.95332305,61.48233718,57.7289258,68.17827771,70.68338755,86.00764866
YALI0E18700g,2.667082095,1.514306017,2.703735169,1.779445716,2.269335642,2.218321601,1.956512917,4.147760086,6.304309311,5.547040355,2.735125807,1.808862631,3.310420731,2.51536676,1.823719397,2.133539322,1.477549398,2.523205911,1.649274358,2.269907455,2.562306992,1.851118713,1.936724547,4.388033471,2.429070961,1.146364871,0.324562865,0.716162283,0.922053705
YALI0E18722g,7.739064082,6.909418491,7.250809646,7.738877382,4.014742066,8.11411024,10.62878767,3.814539273,4.751510906,4.427355561,1.984730575,1.920309144,2.080387625,1.720224756,3.386534157,4.821078241,3.787008124,3.842037979,5.462771863,6.630026338,7.165800638,3.723396017,6.971946119,7.17386795,4.686178664,0.995870525,1.218264403,1.496370399,4.00503422
YALI0E18744g,21.98530536,22.86574123,21.80329473,12.41946591,12.74744154,10.65848033,8.498581119,25.81451945,27.56769676,29.7601589,24.31722898,23.46632603,21.20925489,33.37220729,62.39210541,75.77011314,74.6115567,74.91469087,11.79105193,26.98519566,26.30354158,14.49162238,16.86384124,13.79920001,15.11176138,40.4422978,32.38916187,31.28516494,26.93837865
YALI0E18766g,18.93843375,15.60005609,21.59608466,10.90728261,11.41252947,11.15144431,8.628859959,6.164734884,7.677638827,6.648175141,5.58421519,7.800720098,7.044989118,4.209309063,2.719674566,6.980955686,6.168768735,4.798596956,7.038278321,7.314146243,8.021134932,8.957849286,9.726853195,14.42720512,14.34670036,2.659924739,2.808717101,3.415393494,5.899703001
YALI0E18788g,10.15676948,5.198922434,7.046983458,7.337030945,7.403817055,21.90553137,23.61150137,80.82800506,62.45087513,75.212143,242.7034009,299.0978805,214.2468509,225.760965,44.43639607,8.045238113,12.87464664,7.91546256,9.039806479,10.10211065,10.76409812,13.08437806,12.68591967,173.6739216,185.8670117,142.9455028,225.7378586,208.8046454,327.1234721
