Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0D22506g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0E18612g,control_overexpressed,,0.0012224938875305623,0.0004733252303081841,3.172039751319205e-12,orange,circle,30,2
YALI0D23353g,changed_regulation,,0.0006112469437652812,0.0,1.1587714947828786e-10,green,circle,30,2
YALI0D23375g,changed_regulation,,0.0006112469437652812,0.0,0.002217107583428532,green,circle,30,2
YALI0F18656g,case_upregulated,,0.0006112469437652812,0.0,4.312404136806441e-11,darkblue,circle,30,2
YALI0E04939g,control_overexpressed,,0.0018337408312958435,6.287191672381526e-06,2.444872452373841e-06,orange,circle,30,2
YALI0E34793g,changed_regulation,,0.0006112469437652812,0.0,1.1620303466194724e-14,green,circle,30,2
YALI0E29315g,control_overexpressed,,0.0012224938875305623,0.0,2.5597504938138116e-08,orange,circle,30,2
YALI0D25278g,control_overexpressed,,0.0012224938875305623,7.477026835049311e-07,4.625620758733121e-32,orange,circle,30,2
YALI0E24519g,changed_regulation,,0.0006112469437652812,0.0,3.270807805697453e-32,green,circle,30,2
YALI0F09559g,changed_regulation,,0.0006112469437652812,0.0,3.270807805697453e-32,green,circle,30,2
YALI0D25498g,changed_regulation,,0.0006112469437652812,0.0,9.203353389187747e-06,green,circle,30,2
YALI0E04048g,changed_regulation,,0.0012224938875305623,0.0010108940280986667,0.00024102597988465754,green,circle,30,2
YALI0F23749g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0D25828g,control_overexpressed,,0.0006112469437652812,0.0,4.751975651848194e-28,orange,circle,30,2
YALI0E30855g,control_overexpressed,,0.0012224938875305623,7.477026835049311e-06,1.2619247775740694e-27,orange,circle,30,2
YALI0E20713g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0D26972g,changed_regulation,,0.0006112469437652812,0.0,1.6369081301212166e-14,green,circle,30,2
YALI0F00968g,control_overexpressed,,0.0012224938875305623,0.0010108940280986669,2.5386392386089695e-13,orange,circle,30,2
YALI0E00418g,case_overexpressed,,0.0,0.0,3.040391144120668e-43,lightblue,circle,30,2
YALI0E34397g,changed_regulation,,0.0,0.0,3.040391144120668e-43,green,circle,30,2
YALI0E01276g,control_overexpressed,,0.0006112469437652812,0.0,2.589396601226773e-13,orange,circle,30,2
YALI0E12375g,control_overexpressed,,0.0012224938875305623,0.0010108940280986669,4.5341548232371016e-12,orange,circle,30,2
YALI0E16060g,case_upregulated,,0.0006112469437652812,0.0,2.3272296352213456e-13,darkblue,circle,30,2
YALI0E02266g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0E17391g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0E02684g,changed_regulation,,0.0006112469437652812,0.0,4.0288628840303605e-12,green,circle,30,2
YALI0E14949g,case_overexpressed,,0.0012224938875305623,0.002020292650830324,7.813792444973118e-07,lightblue,circle,30,2
YALI0E26829g,case_overexpressed,,0.0006112469437652812,0.0,3.735723676755355e-10,lightblue,circle,30,2
YALI0E04158g,control_overexpressed,,0.0006112469437652812,0.0,2.5277415792944793e-13,orange,circle,30,2
YALI0F30613g,changed_regulation,,0.0006112469437652812,0.0,0.0006553655800434328,green,circle,30,2
YALI0E04312g,changed_regulation,,0.0006112469437652812,0.0,1.1696498479875454e-14,green,circle,30,2
YALI0E04356g,changed_regulation,,0.0006112469437652812,0.0,1.7045478501262065e-06,green,circle,30,2
YALI0F24013g,control_upregulated,,0.0006112469437652812,0.0,9.095730794712287e-08,red,circle,30,2
YALI0E05467g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0E30921g,control_overexpressed,,0.0024449877750611247,0.0011046151878795092,1.0018025346743836e-11,orange,circle,30,2
YALI0E07051g,case_overexpressed,,0.0006112469437652812,0.0,1.8930207565957455e-12,lightblue,circle,30,2
YALI0F08415g,case_overexpressed,,0.0018337408312958435,0.002021040353513829,3.6241377814126593e-11,lightblue,circle,30,2
YALI0F14729g,control_upregulated,,0.0012224938875305623,2.3054166074735373e-06,6.409406197898229e-05,red,circle,30,2
YALI0E10153g,control_overexpressed,,0.0018337408312958435,0.0,2.8233486925773224e-08,orange,circle,30,2
YALI0E10813g,control_upregulated,,0.0018337408312958435,0.0,2.8233486925773224e-08,red,circle,30,2
YALI0F30657g,case_upregulated,,0.0,0.0,3.040391144120668e-43,darkblue,circle,30,2
YALI0F26675g,control_overexpressed,,0.0006112469437652812,0.0,4.2361143996894616e-08,orange,circle,30,2
YALI0E11121g,changed_regulation,,0.0006112469437652812,0.0,3.161870059442866e-10,green,circle,30,2
YALI0E12221g,case_upregulated,,0.0,0.0,3.040391144120668e-43,darkblue,circle,30,2
YALI0F29931g,control_upregulated,,0.0006112469437652812,0.0,1.585325848206812e-05,red,circle,30,2
YALI0F18040g,control_overexpressed,,0.0012224938875305623,0.002020292650830324,8.293413049911383e-11,orange,circle,30,2
YALI0F04114g,control_upregulated,,0.0,0.0,3.040391144120668e-43,red,circle,30,2
YALI0E13057g,case_overexpressed,,0.0012224938875305623,0.0010108940280986669,3.007707406633674e-08,lightblue,circle,30,2
YALI0F31075g,case_overexpressed,,0.0006112469437652812,0.0,1.1585513690940571e-09,lightblue,circle,30,2
YALI0E19470g,control_overexpressed,,0.0,0.0,3.040391144120668e-43,orange,circle,30,2
