Gene,FC_t1,FC_t2,Z,Class,Feature
YALI0A00638g,0.3864222769865142,-1.7469164287009398,-2.048439691099815,control_upregulated,
YALI0A00660g,-1.8883709293122861,-0.08463181298577241,0.9690455467212452,no_change,
YALI0A00682g,-2.746143399262026,0.5483273070692494,2.378204180493316,changed_regulation,
YALI0A00715r,0.0,0.0,0.0,no_change,
YALI0A00759g,-1.0393199634023917,-0.08144372572396175,0.7383964966841772,no_change,
YALI0A00781g,0.5891895912492586,0.7258705031077141,0.10219486538622963,no_change,
YALI0A00792r,0.0,0.0,0.0,no_change,
YALI0A00803g,-1.460599770256205,0.17259663015883195,1.405126428019008,no_change,
YALI0A00825g,-0.04620859218941804,-1.098162623387824,-1.0438215569363787,no_change,
YALI0A00847g,7.004319686103507,6.364473897050201,-0.28802350333735205,case_overexpressed,
YALI0A00869g,0.0,0.0,0.0,no_change,
YALI0A00891g,0.36524317746139184,1.7144250703462884,1.3820007924541073,no_change,
YALI0A00913g,-0.5046165701625318,0.6803193880362541,1.163981062300966,no_change,
YALI0A00935g,0.0,0.0,0.0,no_change,
YALI0A00957g,0.4478470068710369,1.6920919779385564,1.199695043675027,no_change,
YALI0A00979g,-1.8698054084309985,2.010389506335641,3.7161120596986805,changed_regulation,
YALI0A01001g,-1.159793081299566,-0.9033777018603725,0.030439885502575998,no_change,
YALI0A01023g,-6.349001654963319,-1.2666899322026282,2.569857787018908,control_overexpressed,
YALI0A01045g,0.37272142481981296,1.2628492800425088,0.9884305854931654,no_change,
YALI0A01067g,-1.461516152887795,1.1408014245268359,2.0615375623438577,changed_regulation,
YALI0A01089g,-0.07813916046467392,-0.3549159102369622,-0.30505579167204816,no_change,
YALI0A01111g,-0.02511519497822775,-0.6798775705031359,-0.6428798251074994,no_change,
YALI0A01133g,2.301600410986942,-2.0498585460272385,-3.3835529791825962,changed_regulation,
YALI0A01155g,0.717758283926017,0.3183358956839293,-0.20747208453721772,no_change,
YALI0A01177r,0.0,0.0,0.0,no_change,
YALI0A01221r,0.0,0.0,0.0,no_change,
YALI0A01265g,0.0,0.0,0.0,no_change,
YALI0A01287r,0.0,0.0,0.0,no_change,
YALI0A01331g,0.33165214729395487,-0.22549842475427326,-0.4248083848306694,no_change,
YALI0A01353g,-1.0308528573834694,-0.05204750064102728,0.8971893673633116,no_change,
YALI0A01375g,0.2295296218594411,0.5855489004052051,0.371929281675622,no_change,
YALI0A01397g,-1.9200193917169974,-0.7083724640423694,0.9520037439496143,no_change,
YALI0A01419g,0.6134578664746545,-1.5556037999900154,-2.0026422006095337,control_upregulated,
YALI0A01441g,0.0,0.0,0.0,no_change,
YALI0A01452g,-3.869412899313269,0.9656961670805907,3.419988557649077,changed_regulation,
YALI0A01463g,-2.0354865929332893,-0.6009678253080474,0.8598575652898277,no_change,
YALI0A01485g,-6.727027864524433,-1.7152614005585853,1.1537550201252977,control_overexpressed,
YALI0A01507g,0.0,0.0,0.0,no_change,
YALI0A01540g,0.0,0.0,0.0,no_change,
YALI0A01562g,0.0,0.0,0.0,no_change,
YALI0A01584g,0.0,0.0,0.0,no_change,
YALI0A01602g,0.0,0.0,0.0,no_change,
YALI0A01626t,0.0,0.0,0.0,no_change,
YALI0A01650g,-0.8428844381951085,0.4431423086179588,1.2350537173675649,no_change,
YALI0A01672r,0.0,0.0,0.0,no_change,
YALI0A01716g,0.0,0.0,0.0,no_change,
YALI0A01738g,0.8744683457121878,-1.2544455916314676,-2.0230638499075426,control_upregulated,
YALI0A01760g,0.7024077956680392,-1.9554814829905307,-2.514047631102954,control_upregulated,
YALI0A01782g,0.1642930580706583,0.6000548378792506,0.5007276054993802,no_change,
YALI0A01804r,0.0,0.0,0.0,no_change,
YALI0A01826g,-1.026826655567949,0.2834144996586966,1.1321548221716375,no_change,
YALI0A01848g,0.0,0.0,0.0,no_change,
YALI0A01870g,0.0,0.0,0.0,no_change,
YALI0A01892g,-0.0005552293851449069,-1.777655455869813,-1.7244504801637779,control_upregulated,
YALI0A01914r,0.0,0.0,0.0,no_change,
YALI0A01958g,0.0,0.0,0.0,no_change,
YALI0A01980g,0.0,0.0,0.0,no_change,
YALI0A02002g,0.0,0.0,0.0,no_change,
YALI0A02024g,-0.5301887192929785,0.0,0.5301887192929785,no_change,
YALI0A02046g,0.09638763058552281,-1.982227098653077,-1.9912849331464015,control_upregulated,
YALI0A02068g,0.11808539182745054,-0.6793895974342624,-0.7662416697758462,no_change,
