Gene,Class,Feature
YALI0A14608g,changed_regulation,
YALI0A14630g,changed_regulation,
YALI0A14707g,control_overexpressed,
YALI0A14740g,changed_regulation,
YALI0A14784g,control_overexpressed,
YALI0A14839g,control_overexpressed,
YALI0A14883g,changed_regulation,
YALI0A15257g,case_upregulated,
YALI0A15422g,control_upregulated,
YALI0A15554g,control_overexpressed,
YALI0A15576g,control_overexpressed,
YALI0A15906g,control_overexpressed,
YALI0A15950g,case_overexpressed,
YALI0A15972g,case_upregulated,
YALI0A16214g,case_upregulated,
YALI0A16720g,control_overexpressed,
YALI0A16841g,case_upregulated,Transcription_Factor
YALI0A17020g,changed_regulation,
YALI0A17061g,control_overexpressed,
YALI0A17127g,changed_regulation,
YALI0A17193g,changed_regulation,
YALI0A17281g,case_upregulated,
YALI0A17292g,changed_regulation,
YALI0A17314g,control_upregulated,
YALI0A17358g,control_upregulated,
YALI0A17380g,changed_regulation,
YALI0A17468g,changed_regulation,
YALI0A17831g,case_overexpressed,
YALI0A17919g,case_upregulated,
YALI0A17946g,control_upregulated,
YALI0A18161g,control_overexpressed,
YALI0A18227g,changed_regulation,
YALI0A18271g,control_overexpressed,
YALI0A18293g,changed_regulation,
YALI0A18315g,control_overexpressed,
YALI0A18337g,changed_regulation,
YALI0A18381g,changed_regulation,Mutated_Gene
YALI0A18403g,control_overexpressed,
YALI0A18425g,changed_regulation,
YALI0A18469g,changed_regulation,Transcription_Factor
YALI0A18678g,changed_regulation,
YALI0A18700g,changed_regulation,
YALI0A18766g,changed_regulation,
YALI0A18788g,changed_regulation,
YALI0A18810g,changed_regulation,
YALI0A18986g,case_upregulated,
YALI0A19030g,changed_regulation,
YALI0A19074g,changed_regulation,
YALI0A19162g,control_overexpressed,
YALI0A19206g,case_upregulated,
YALI0A19404g,control_overexpressed,
YALI0A19426g,case_overexpressed,
YALI0A19448g,case_overexpressed,
YALI0A19470g,case_upregulated,
YALI0A19536g,changed_regulation,
YALI0A19580g,control_overexpressed,
YALI0A19624g,control_overexpressed,
YALI0A19646g,changed_regulation,
YALI0A19712g,changed_regulation,
YALI0A19756g,changed_regulation,
YALI0A19844g,changed_regulation,
YALI0A19888g,case_upregulated,
YALI0A19910g,case_upregulated,
YALI0A19932g,case_overexpressed,
YALI0A19954g,changed_regulation,
YALI0A19976g,control_upregulated,
YALI0A20064g,control_overexpressed,
YALI0A20174g,changed_regulation,
YALI0A20207g,changed_regulation,
YALI0A20273g,control_overexpressed,
YALI0A20295g,control_overexpressed,
YALI0A20350g,case_overexpressed,
YALI0A20372g,control_overexpressed,
YALI0A20438g,changed_regulation,
YALI0A20518g,changed_regulation,
YALI0A20570g,case_overexpressed,
YALI0A20592g,case_overexpressed,
YALI0A20614g,changed_regulation,
YALI0A20658g,control_overexpressed,
YALI0A20680g,changed_regulation,
YALI0A20746g,changed_regulation,
YALI0A20790g,case_overexpressed,
YALI0A20867g,case_upregulated,
YALI0A20922g,case_upregulated,
YALI0A20988g,changed_regulation,
YALI0A21010g,case_overexpressed,
YALI0A21131g,changed_regulation,
YALI0A21153g,case_overexpressed,
YALI0A21175g,control_overexpressed,
YALI0A21263g,control_overexpressed,
YALI0A21307g,case_upregulated,
YALI0A21351g,control_overexpressed,
YALI0A21373g,control_overexpressed,
YALI0A21417g,changed_regulation,
YALI0A21439g,case_overexpressed,
