Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t2_rep1,WT_t2_rep2
YALI0E27181g,0.26886283899999996,0.837533987,0.403579116,0.813588247,0.281895217,0.155732586,0.08479146,0.042299987000000004,0.156575157
YALI0E27203g,0.972089757,0.700185918,1.17764096,1.3864944,0.9084255059999999,0.247869037,0.911708418,0.35907217,0.479960193
YALI0E27225g,0.481472374,1.150440425,0.152448471,0.670529069,0.473259758,1.764798551,1.1274289,2.002632287,2.050356264
YALI0E27247g,0.282510996,0.30858872600000004,0.170383585,0.174863463,0.296204931,0.0,0.0,0.0,0.0
YALI0E27269g,6.982155785,8.003197862999999,8.022763258,7.153671277000001,7.070881234,12.84068286,14.43099004,12.88614237,17.32304186
YALI0E27291g,3.509352518,5.024912203,5.859628584,4.051434262,4.671672184,3.1347149739999995,2.641270212,1.67498225,0.964446978
YALI0E27313g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27318r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27324r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27346g,199.3696855,194.1943438,209.66746369999998,183.02960149999998,215.91161839999998,169.2114996,291.7193807,243.9802654,275.238423
YALI0E27368g,32.48110147,34.42001252,35.49154781,31.231942600000004,29.50265386,25.63649136,29.6297137,36.70755404,39.75335339
YALI0E27390g,12.71435217,21.84856612,19.75609131,10.76905768,13.95967729,33.26051727,27.73047653,26.64517448,22.83788512
YALI0E27412g,65.09356034,68.39483373,57.87248853,52.10681398,57.94403171,65.45284866,61.80975201,64.5554909,54.74924385
YALI0E27434g,0.0,0.211532594,0.0,0.0,0.348074919,0.648990435,1.1307351429999999,1.175189159,0.0
YALI0E27456g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27511g,56.38295751,54.59916434,53.34555157,54.33257606,47.05619241,42.92707321,49.01767077,44.6521605,32.64291999
YALI0E27533g,65.37935122,74.25472446,78.23139959,63.40311751,69.49219345,80.63122756,86.86551314,96.99319226,56.87565964
YALI0E27555g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27588g,0.318292948,0.371817601,0.7390607570000001,0.197011118,0.55620219,0.069136438,0.210798562,0.413133509,0.417062951
YALI0E27610r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E27616g,271.14878250000004,295.4002315,266.53903990000003,285.1345042,253.75608709999997,171.8985821,193.38647769999997,209.3659446,249.0297699
YALI0E27632g,59.83052231,55.82968573,59.88575299,73.90513976,53.51673793,37.94005711,62.42398519,68.01651473,70.24446668
YALI0E27654g,70.80884575,76.13064097,73.71274463,58.69135213,60.79163162,10.52745073,15.74546002,12.76637112,9.860852119
YALI0E27676g,163.2037686,177.28531730000003,162.759826,180.529252,188.02710869999999,136.5979111,95.46291587,106.0370678,86.83980263
YALI0E27698g,28.21235522,38.57564799,34.41066886,28.13003552,29.19141908,21.191701000000002,34.52310283,30.93223221,26.22689558
YALI0E27715g,137.7531206,166.9141351,162.6975292,115.0060419,185.0745185,117.8017394,66.38689835,68.75090344,87.62428086
YALI0E27720g,46.82110277,58.58475485,60.39676352,42.50888743,46.17047225,45.01808898,29.32634363,23.80630713,18.12839747
