Gene,Class,Feature
YALI0A01463g,no_change,
YALI0A01485g,lowly_expressed_gene,
YALI0A01507g,no_change,
YALI0A01540g,no_change,
YALI0A01562g,no_change,
YALI0A01584g,no_change,
YALI0A01602g,no_change,
YALI0A01626t,no_change,
YALI0A01650g,no_change,
YALI0A01672r,no_change,
YALI0A01716g,no_change,
YALI0A01738g,no_change,
YALI0A01760g,no_change,
YALI0A01782g,lowly_expressed_gene,
YALI0A01804r,no_change,
YALI0A01826g,no_change,
YALI0A01848g,no_change,
YALI0A01870g,no_change,
YALI0A01892g,no_change,
YALI0A01914r,no_change,
YALI0A01958g,no_change,
YALI0A01980g,no_change,
YALI0A02002g,no_change,
YALI0A02024g,no_change,
YALI0A02046g,no_change,
YALI0A02068g,no_change,
YALI0A02090g,no_change,
YALI0A02112g,no_change,
YALI0A02134g,no_change,
YALI0A02156g,highly_expressed_gene,
YALI0A02178g,no_change,
YALI0A02200g,downregulated,
YALI0A02222g,no_change,
YALI0A02244g,no_change,
YALI0A02266g,no_change,
YALI0A02288g,downregulated,
YALI0A02310g,highly_expressed_gene,
YALI0A02332g,no_change,
YALI0A02354g,no_change,
YALI0A02365g,no_change,
YALI0A02409g,no_change,
YALI0A02416g,no_change,
YALI0A02423g,no_change,
YALI0A02431g,no_change,
YALI0A02453g,no_change,
YALI0A02475g,no_change,
YALI0A02497g,no_change,Mutated_Gene
YALI0A02541g,no_change,
YALI0A02563g,no_change,
YALI0A02585g,lowly_expressed_gene,
YALI0A02607g,highly_expressed_gene,
YALI0A02629g,no_change,
YALI0A02651g,upregulated,
YALI0A02673g,highly_expressed_gene,
YALI0A02695g,no_change,
YALI0A02717g,no_change,
YALI0A02739r,no_change,
YALI0A02783g,no_change,
YALI0A02805r,no_change,
YALI0A02849g,no_change,
YALI0A02871g,highly_expressed_gene,
YALI0A02893g,changed_regulation,
YALI0A02915g,upregulated,
YALI0A02937g,no_change,
YALI0A02959g,lowly_expressed_gene,
YALI0A02981g,no_change,
YALI0A03003g,no_change,
YALI0A03025g,no_change,
YALI0A03047r,no_change,
YALI0A03069g,no_change,
YALI0A03091g,no_change,
YALI0A03113g,highly_expressed_gene,
YALI0A03135g,no_change,
YALI0A03157r,no_change,
YALI0A03179g,no_change,
YALI0A03201g,no_change,
YALI0A03223g,no_change,
YALI0A03245g,changed_regulation,
YALI0A03267r,no_change,
YALI0A03311r,no_change,
YALI0A03355r,no_change,
YALI0A03399g,no_change,
YALI0A03421g,no_change,
YALI0A03443g,no_change,
YALI0A03465r,no_change,
YALI0A03509g,no_change,
YALI0A03531g,no_change,
YALI0A03553g,no_change,
YALI0A03575g,no_change,
YALI0A03597g,highly_expressed_gene,
YALI0A03641g,no_change,
YALI0A03663g,no_change,
YALI0A03685g,lowly_expressed_gene,
YALI0A03707r,no_change,
YALI0A03751g,no_change,
YALI0A03773g,highly_expressed_gene,
YALI0A03795t,no_change,
YALI0A03817g,no_change,
YALI0A03839g,no_change,
YALI0A03861g,changed_regulation,
YALI0A03883g,no_change,Mutated_Gene
YALI0A03905g,no_change,
YALI0A03916r,no_change,
YALI0A03927g,downregulated,
YALI0A03949g,no_change,
YALI0A03971g,changed_regulation,
YALI0A03993g,no_change,
YALI0A04015r,no_change,
YALI0A04059g,no_change,
YALI0A04081r,no_change,
YALI0A04125g,no_change,
YALI0A04147r,no_change,
YALI0A04191g,changed_regulation,
YALI0A04202r,no_change,
YALI0A04213r,no_change,
YALI0A04235r,no_change,
YALI0A04279g,no_change,
YALI0A04301g,no_change,
YALI0A04323g,highly_expressed_gene,
YALI0A04345g,no_change,
YALI0A04367g,no_change,
YALI0A04389r,no_change,
YALI0A04433r,no_change,
YALI0A04455g,highly_expressed_gene,
YALI0A04477r,no_change,
YALI0A04499g,no_change,
YALI0A04521g,no_change,
YALI0A04543r,no_change,
YALI0A04565r,no_change,
YALI0A04576r,no_change,
YALI0A04587g,no_change,
YALI0A04609g,downregulated,
YALI0A04631g,no_change,
YALI0A04653g,no_change,
YALI0A04675g,highly_expressed_gene,
YALI0A04697g,no_change,
YALI0A04719g,no_change,
YALI0A04741g,no_change,
YALI0A04763r,no_change,
YALI0A04785g,highly_expressed_gene,
YALI0A04807g,no_change,
YALI0A04829r,no_change,
YALI0A04873g,no_change,
YALI0A04895g,no_change,
YALI0A04917g,no_change,
YALI0A04939g,no_change,
YALI0A04961g,no_change,
YALI0A04983g,no_change,
YALI0A05005g,no_change,
YALI0A05027g,highly_expressed_gene,
YALI0A05049r,no_change,
YALI0A05093r,no_change,
YALI0A05115g,lowly_expressed_gene,
YALI0A05137g,no_change,
YALI0A05159g,no_change,
YALI0A05181g,highly_expressed_gene,
YALI0A05203g,no_change,
YALI0A05225g,no_change,
YALI0A05247g,downregulated,
YALI0A05269t,no_change,
YALI0A05291g,no_change,
YALI0A05313g,no_change,
YALI0A05357g,no_change,
YALI0A05379g,lowly_expressed_gene,
YALI0A05401g,no_change,
YALI0A05423g,no_change,
YALI0A05445r,no_change,
YALI0A05489r,no_change,
YALI0A05533g,lowly_expressed_gene,
YALI0A05555g,highly_expressed_gene,
YALI0A05577g,no_change,
YALI0A05599r,no_change,
YALI0A05621r,no_change,
YALI0A05665g,no_change,
YALI0A05687r,no_change,
YALI0A05731r,no_change,
YALI0A05775g,no_change,
YALI0A05797g,no_change,
YALI0A05819r,no_change,
YALI0A05863r,no_change,
YALI0A05885g,no_change,
YALI0A05907r,no_change,
YALI0A05929g,downregulated,
YALI0A05951g,highly_expressed_gene,
YALI0A05973g,no_change,
YALI0A05995g,no_change,
YALI0A06017g,no_change,
YALI0A06039g,no_change,
YALI0A06061g,no_change,
YALI0A06105g,no_change,
YALI0A06127r,no_change,
YALI0A06171g,no_change,
YALI0A06193r,no_change,
YALI0A06215g,no_change,
YALI0A06226r,no_change,
YALI0A06237r,no_change,
YALI0A06259r,no_change,
YALI0A06303r,no_change,
YALI0A06347g,no_change,
YALI0A06369g,no_change,
YALI0A06391r,no_change,
YALI0A06435g,no_change,
YALI0A06457g,no_change,
YALI0A06479g,no_change,
