Gene,border,centrality_betweenness,centrality_degree,centrality_eigenvector_weighted,class,color,feature,shape,size
YALI0E19426g,2,0.0011086389336256094,0.006033182503770739,2.719473312226471e-10,changed_regulation,green,,circle,30
YALI0E27093g,2,9.203302492372295e-05,0.0022624434389140274,4.222301525541267e-11,changed_regulation,green,,circle,30
YALI0D09691g,2,0.0015388904361262855,0.013574660633484163,7.640331312782802e-05,changed_regulation,green,,circle,30
YALI0D23727g,2,0.0018193742188133777,0.004524886877828055,8.829177188822706e-12,changed_regulation,green,,circle,30
YALI0E04785g,2,0.011109543480871977,0.018853695324283562,0.0003420361720948408,control_upregulated,red,,circle,30
YALI0F14377g,2,0.0008718224569171419,0.007541478129713424,0.00011654044664531116,control_upregulated,red,,circle,30
YALI0F28677g,2,0.0,0.0015082956259426848,2.05664213798964e-12,changed_regulation,green,,circle,30
YALI0B08272g,2,0.023227714987321162,0.011312217194570135,1.592393242331661e-08,case_upregulated,darkblue,,circle,30
YALI0C06391g,2,0.0022273935878052596,0.0030165912518853697,2.1030211212896729e-07,changed_regulation,green,,circle,30
YALI0D09361g,2,0.0023631862033637835,0.0022624434389140274,1.900530830498544e-07,control_upregulated,red,,circle,30
YALI0B01298g,2,0.002717358220515359,0.0030165912518853697,1.2567207504275544e-09,control_overexpressed,orange,,circle,30
YALI0C10780g,2,0.0018567613418913513,0.006033182503770739,0.0007775982619798113,control_overexpressed,orange,,circle,30
YALI0E06721g,2,0.0,0.0007541478129713424,5.543684633340413e-22,changed_regulation,green,,circle,30
YALI0F26521g,2,0.0,0.0007541478129713424,1.4701243616242423e-26,changed_regulation,green,,circle,30
YALI0E04136g,2,0.0,0.0007541478129713424,1.4701243616242423e-26,case_overexpressed,lightblue,,circle,30
YALI0F27181g,2,0.0,0.0,7.01009922802087e-33,case_upregulated,darkblue,,circle,30
YALI0C00847g,2,0.0,0.0,7.01009922802087e-33,control_overexpressed,orange,,circle,30
YALI0A14784g,2,0.0010644498044490552,0.007541478129713424,0.000369050900980176,control_upregulated,red,,circle,30
YALI0E06237g,2,2.0574692784703082e-05,0.00904977375565611,0.058799707462616584,control_upregulated,red,,circle,30
YALI0B21516g,2,7.29130600250403e-05,0.003770739064856712,5.6021463302846796e-06,changed_regulation,green,,circle,30
YALI0F14729g,2,4.648206645986891e-06,0.0015082956259426848,3.4981534587856994e-07,control_upregulated,red,,circle,30
YALI0E33517g,2,0.0036069243934286777,0.003770739064856712,1.5584433349975196e-10,changed_regulation,green,,circle,30
YALI0D13112g,2,0.036196027547519265,0.012066365007541479,5.042525039605811e-06,case_overexpressed,lightblue,,circle,30
YALI0C22858g,2,0.0,0.0,7.01009922802087e-33,case_overexpressed,lightblue,,circle,30
YALI0D11374g,2,0.0,0.0015082956259426848,1.897943879061087e-07,control_upregulated,red,,circle,30
YALI0C21978g,2,0.002363186203363784,0.0015082956259426848,1.2971771043181877e-13,control_overexpressed,orange,,circle,30
YALI0C16709g,2,0.0002732648705501682,0.0030165912518853697,2.842600864054441e-11,case_upregulated,darkblue,,circle,30
YALI0D27192g,2,0.00024212811980558373,0.003770739064856712,3.41505260887047e-09,case_upregulated,darkblue,,circle,30
YALI0E11451g,2,0.0014886522914791863,0.006787330316742082,5.28520375752488e-10,changed_regulation,green,,circle,30
YALI0D18436g,2,0.0035349794906664052,0.005279034690799397,8.679496275983748e-09,changed_regulation,green,,circle,30
YALI0E14641g,2,0.0011867456182952324,0.011312217194570135,0.07452423439223752,control_upregulated,red,,circle,30
YALI0D15114g,2,0.01630444461012985,0.008295625942684766,1.9270491449465395e-08,changed_regulation,green,,circle,30
YALI0E31031g,2,0.0,0.0007541478129713424,3.0388390181650425e-24,control_upregulated,red,,circle,30
YALI0B13640g,15,0.004704291800559014,0.008295625942684766,1.0471078352275966e-10,changed_regulation,green,Transcription_Factor,roundrectangle,80
